1 Thess 4:1,
1 Thess 4:10,
1 Thess 4:11,
1 Thess 4:11,
1 Thess 4:18,
1 Thess 5:6,
1 Thess 5:8,
1 Thess 5:11,
1 Thess 5:11,
1 Thess 5:12,
1 Thess 5:13,
1 Thess 5:13,
1 Thess 5:14,
1 Thess 5:14,
1 Thess 5:14,
1 Thess 5:14,
1 Thess 5:15,
1 Thess 5:15,
1 Thess 5:16,
1 Thess 5:17,
1 Thess 5:18,
1 Thess 5:19,
1 Thess 5:20,
1 Thess 5:21,
1 Thess 5:21,
1 Thess 5:22,
1 Thess 5:23,
1 Thess 5:25,
1 Thess 5:26,
1 Thess 5:27,
2 Thess 2:1-2,
2 Thess 2:1-2,
2 Thess 2:3,
2 Thess 2:15,
2 Thess 2:15,	
2 Thess 3:1,
2 Thess 3:2,
2 Thess 3:6,
2 Thess 3:12,
2 Thess 3:13,
2 Thess 3:14,
2 Thess 3:14,
2 Thess 3:15,
2 Thess 3:15,
